X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,FEATUREDES,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,OSPI_CODE,SCH_CLASS,DISTRICT,PIN,MAJOR,MINOR
-122.287699199377,47.4001362971476,611,10000083,12232,660,School-Elementary,River Ridge Elementary School,River Ridge,22420 Military Rd S,98198,-122.28770198,47.40013441,0,10,KENT,1522049125,152204,9125
-122.111798443367,47.7084687886665,612,10000084,1252027,660,School-Elementary,Clara Barton Elementary School,Barton,12101 172nd Ave NE,98052,-122.11179963,47.70846663,0,10,LAKE WASHINGTON,2526059045,252605,9045
-122.188669824401,47.7144142445016,613,10000085,32972,664,School-Alternative,Transition Academy - Kirkland,Transition Academy,14415 NE 128th St,98034,-122.18867104,47.71441221,0,10,LAKE WASHINGTON,2926059032,292605,9032
-122.198351794471,47.7162588079451,614,10000086,42811,664,School-Alternative,Cambridge Program,Cambridge,10601 NE 132nd St,98034,-122.19835301,47.71625679,0,10,LAKE WASHINGTON,2926059049,292605,9049
-122.031710903888,47.6881098903033,615,10000087,1237966,661,School-Junior High/Middle,Timberline Middle School,Timberline,9900 Redmond Ridge Dr NE,98053,-122.03171212,47.68810759,0,10,LAKE WASHINGTON,7202420040,720242,0040
-122.153406239895,47.7510585236721,616,10000088,164354,660,School-Elementary,Chrysalis Elementary School,Chrysalis,17005 140th Ave NE,98072,-122.15340726,47.75105645,0,20,NORTHSHORE,1026059074,102605,9074
-122.20180428353,47.4875875703832,617,10000089,1261082,660,School-Elementary,Sartori Elementary School,Sartori,332 Park Ave N,98057,-122.20180656,47.48758551,0,10,RENTON,7224000580,722400,0580
-121.814335018887,47.5182823102447,618,10000090,21153,661,School-Junior High/Middle,Snoqualmie Middle School,Snoqualmie,9200 Railroad Ave SE,98065,-121.81433673,47.51827961,0,10,SNOQUALMIE VALLEY,3224089089,322408,9089
-122.337287223316,47.694939309025,619,10000091,1228942,660,School-Elementary,Cascadia Elementary School,Cascadia,1700 N 90th St,98124,-122.33728858,47.69493754,0,10,SEATTLE,3517000005,351700,0005
-122.284430411901,47.6856547818332,620,10000092,1170018,660,School-Elementary,Thornton Creek Elementary School,Thornton Creek,7712 40th Ave NE,98115,-122.28443181,47.68565291,0,10,SEATTLE,6392002220,639200,2220
-122.392621927468,47.6406077942065,621,10000093,425920,660,School-Elementary,Magnolia Elementary School,Magnolia,2418 28th Ave W,98199,-122.39262352,47.6406061,0,10,SEATTLE,0269001275,026900,1275
-122.288867324727,47.5291110028017,622,10000094,519743,660,School-Elementary,Rising Star Elementary School,Rising Star,8311 Beacon Ave S,98118,-122.28886942,47.52910911,0,10,SEATTLE,7243500160,724350,0160
-122.297373385051,47.7017282921946,623,10000095,264588,664,School-Alternative,Seattle Waldorf School - Meadowbrook Campus,Waldorf,2728 NE 100th St,98125,-122.29737471,47.70172644,0,20,SEATTLE,2568300115,256830,0115
-122.196724123436,47.6425508141373,624,10000098,116691,664,School-Alternative,Chestnut Montessori School,Chestnut,10723 NE 38th Pl,98004,-122.19672567,47.64254877,0,20,BELLEVUE,2025059008,202505,9008
-122.344116267775,47.5133101104196,625,1206,781976,660,School-Elementary,White Center Heights Elementary School,White Center Heights,10015 6th Ave SW,98146,-122.34411843,47.51330828,2639,10,HIGHLINE,2895800020,289580,0020
-122.315783450319,47.5019997956248,626,1286,12270,660,School-Elementary,Southern Heights Elementary School,Southern Heights,11249 14th Ave S,98168,-122.31578566,47.50199793,3032,10,HIGHLINE,3361400255,336140,0255
-122.18989073335,47.380080498991,627,371,631263,660,School-Elementary,George T. Daniel Elementary School,Daniel,11310 SE 248th St,98030,-122.18989361,47.38007841,4413,10,KENT,2022059119,202205,9119
-122.300220289586,47.3897804832467,628,1359,382215,663,School-College or University,Highline College,Highline College,2400 S 240th St,98198,-122.30022312,47.38977862,0,10,HIGHLINE,1622049016,162204,9016
-122.1893914912,47.7466464214356,629,247,174576,666,School-K-12,Cedar Park Christian School,Cedar Park Christian,16300 112th Ave NE,98011,-122.18939256,47.74664439,0,20,NORTHSHORE,1726059028,172605,9028
-122.108506696178,47.7274383511523,630,642,21190,660,School-Elementary,Sunrise Elementary School,Sunrise,14075 172nd Ave NE,98052,-122.10850779,47.7274362,4187,10,NORTHSHORE,8121201010,812120,1010
-122.120819884984,47.6305888796614,631,227,68,660,School-Elementary,Sherwood Forest Elementary School,Sherwood Forest,16411 NE 24th St,98008,-122.12082144,47.63058669,3339,10,BELLEVUE,2525059092,252505,9092
-122.321355881867,47.6168980582417,632,1077,836506,663,School-College or University,Seattle Central College,Seattle Central,1701 Broadway,98122,-122.32135758,47.61689623,0,10,SEATTLE,6003001130,600300,1130
